State,OverallHomeless,OverallHomelessIndividuals,OverallHomelessFamilyHouseholds,OverallHomelessVeterans,Year
AK,2128,1286,277,288,2011
AL,5558,4325,434,659,2011
AR,3424,2505,349,411,2011
AS,NA,NA,NA,NA,2011
AZ,10504,6403,1239,1528,2011
CA,125128,97964,9021,16783,2011
CO,15116,4546,2935,2074,2011
CT,4456,3071,482,443,2011
DC,6546,3858,858,515,2011
DE,1035,663,116,55,2011
FL,56687,37584,6483,5644,2011
GA,20975,15975,1661,2243,2011
GU,1745,279,250,33,2011
HI,6188,3195,775,505,2011
IA,3134,1628,472,267,2011
ID,2199,1310,297,250,2011
IL,14009,8173,1957,1081,2011
IN,6196,3789,758,714,2011
KS,2511,1425,328,384,2011
KY,6034,3842,731,636,2011
LA,9291,7941,469,950,2011
MA,16664,6344,3531,1268,2011
MD,10208,6353,1338,696,2011
ME,2447,1184,427,127,2011
MI,13185,7634,1825,959,2011
MN,7495,3410,1265,449,2011
MO,8989,4657,1330,852,2011
MP,NA,NA,NA,NA,2011
MS,2306,1825,141,205,2011
MT,1768,1094,222,251,2011
NC,12896,8303,1460,1248,2011
ND,603,396,60,124,2011
NE,3548,2210,433,310,2011
NH,1469,820,243,126,2011
NJ,14137,6841,2556,811,2011
NM,3601,2246,430,364,2011
NV,9150,7973,381,1240,2011
NY,63445,27338,11988,5765,2011
OH,13030,7812,1683,1279,2011
OK,4625,3236,469,356,2011
OR,17254,9445,2623,1474,2011
PA,15096,7867,2396,1392,2011
PR,2900,2346,261,137,2011
RI,1070,652,137,123,2011
SC,5093,3505,527,612,2011
SD,826,460,123,109,2011
TN,9113,6475,910,965,2011
TX,36911,23577,4357,4891,2011
UT,3130,1842,389,345,2011
VA,8816,5231,1145,931,2011
VI,532,450,22,32,2011
VT,1144,637,156,81,2011
WA,20439,10868,3040,1478,2011
WI,5785,2838,994,607,2011
WV,2211,1662,207,302,2011
WY,1038,320,223,83,2011
