State,OverallHomeless,OverallHomelessIndividuals,OverallHomelessFamilyHouseholds,OverallHomelessVeterans,Year
AK,2016,1434,193,132,2018
AL,3434,2570,280,339,2018
AR,2712,2280,147,251,2018
AS,NA,NA,NA,NA,2018
AZ,9865,7259,792,893,2018
CA,129972,109008,6702,10836,2018
CO,10857,7607,990,1073,2018
CT,3976,2280,553,190,2018
DC,6904,3770,924,306,2018
DE,1082,708,125,70,2018
FL,31030,21443,2757,2543,2018
GA,9499,6943,812,705,2018
GU,854,209,120,14,2018
HI,6530,4131,623,532,2018
IA,2749,1711,325,196,2018
ID,2012,1297,209,215,2018
IL,10643,6752,1223,804,2018
IN,5258,3776,481,539,2018
KS,2216,1443,217,195,2018
KY,3688,2735,286,369,2018
LA,3059,2540,164,406,2018
MA,20068,6811,4149,985,2018
MD,7144,4914,699,574,2018
ME,2516,1450,341,119,2018
MI,8351,5209,965,693,2018
MN,7243,3993,979,301,2018
MO,5883,3776,706,507,2018
MP,1044,357,151,0,2018
MS,1352,1024,112,102,2018
MT,1405,983,134,198,2018
NC,9268,6451,897,884,2018
ND,542,467,27,9,2018
NE,2421,1745,236,171,2018
NH,1450,835,215,143,2018
NJ,9398,6048,1093,555,2018
NM,2551,1949,201,290,2018
NV,7544,7058,167,723,2018
NY,91897,39827,16368,1224,2018
OH,10249,6929,1015,749,2018
OK,3871,2823,327,313,2018
OR,14476,11139,1108,1363,2018
PA,13512,8163,1760,982,2018
PR,3182,2921,75,82,2018
RI,1101,747,121,103,2018
SC,3933,3082,273,415,2018
SD,1159,836,105,110,2018
TN,7883,6139,526,742,2018
TX,25310,19199,1917,1935,2018
UT,2876,1904,287,239,2018
VA,5975,3928,660,485,2018
VI,486,415,26,24,2018
VT,1291,780,169,104,2018
WA,22304,16424,1800,1636,2018
WI,4907,2740,660,332,2018
WV,1243,1021,73,131,2018
WY,639,434,77,47,2018
