State,OverallHomeless,OverallHomelessIndividuals,OverallHomelessFamilyHouseholds,OverallHomelessVeterans,Year
AK,1913,1298,216,256,2012
AL,5209,3825,497,526,2012
AR,4214,3428,266,362,2012
AS,NA,NA,NA,NA,2012
AZ,11302,6310,1465,1478,2012
CA,120098,94888,8076,14611,2012
CO,16768,5101,3104,1512,2012
CT,4209,2906,449,332,2012
DC,6954,3767,1014,531,2012
DE,1008,611,128,66,2012
FL,55170,36771,6333,5331,2012
GA,20516,15363,1779,2297,2012
GU,1301,255,165,31,2012
HI,6246,3130,792,507,2012
IA,2928,1446,466,217,2012
ID,1968,1175,246,260,2012
IL,14144,8269,1905,1147,2012
IN,6259,3316,955,687,2012
KS,2684,1526,346,373,2012
KY,5230,3282,667,440,2012
LA,7772,6322,474,899,2012
MA,17501,6289,3887,1181,2012
MD,9454,5727,1300,617,2012
ME,2393,1287,376,116,2012
MI,12592,7397,1703,1017,2012
MN,7744,3540,1311,309,2012
MO,10237,4855,1745,899,2012
MP,NA,NA,NA,NA,2012
MS,2413,1794,221,244,2012
MT,1833,1166,192,323,2012
NC,13524,8480,1633,1413,2012
ND,688,485,70,160,2012
NE,3789,2215,514,249,2012
NH,1496,832,240,127,2012
NJ,13025,6603,2247,592,2012
NM,3245,2136,348,345,2012
NV,8497,7493,341,1229,2012
NY,69566,30133,12170,4961,2012
OH,13977,7855,1943,1244,2012
OK,5032,3454,519,404,2012
OR,15828,9788,2110,1356,2012
PA,14736,7295,2476,1456,2012
PR,3212,2494,297,116,2012
RI,1277,788,182,96,2012
SC,4915,3327,551,543,2012
SD,859,512,119,124,2012
TN,9426,6905,833,1285,2012
TX,34052,20743,4511,4364,2012
UT,3527,2049,445,330,2012
VA,8424,5084,1094,881,2012
VI,484,438,16,33,2012
VT,1160,653,172,109,2012
WA,20504,11273,2871,1475,2012
WI,6027,3033,961,539,2012
WV,2410,1742,243,268,2012
WY,1813,1302,171,311,2012
