State,OverallHomeless,OverallHomelessIndividuals,OverallHomelessFamilyHouseholds,OverallHomelessVeterans,Year
AK,1907,1384,161,111,2019
AL,3261,2519,236,292,2019
AR,2717,2303,132,238,2019
AS,NA,NA,NA,NA,2019
AZ,10007,7538,745,910,2019
CA,151278,128777,7044,10980,2019
CO,9619,7263,719,1068,2019
CT,3033,2100,305,195,2019
DC,6521,3875,815,297,2019
DE,921,565,116,65,2019
FL,28328,21265,2171,2472,2019
GA,10443,7913,815,801,2019
GU,875,258,112,23,2019
HI,6412,4420,539,505,2019
IA,2315,1574,227,149,2019
ID,2315,1516,243,201,2019
IL,10199,6513,1105,690,2019
IN,5471,3783,544,572,2019
KS,2381,1742,209,189,2019
KY,4079,3073,313,447,2019
LA,2941,2416,170,360,2019
MA,18471,6259,3766,917,2019
MD,6561,4652,603,490,2019
ME,2106,1232,283,116,2019
MI,8575,5212,1022,599,2019
MN,7977,4586,1028,297,2019
MO,6179,4173,707,488,2019
MP,1807,423,297,4,2019
MS,1184,963,69,72,2019
MT,1357,947,136,205,2019
NC,9314,6867,767,907,2019
ND,557,377,51,49,2019
NE,2365,1715,201,175,2019
NH,1396,812,206,113,2019
NJ,8862,5895,993,551,2019
NM,3241,2464,246,257,2019
NV,7169,6614,183,674,2019
NY,92091,42113,15901,1270,2019
OH,10345,7041,999,676,2019
OK,3944,3063,300,280,2019
OR,15876,12354,1147,1438,2019
PA,13199,8426,1569,857,2019
PR,2535,2341,59,90,2019
RI,1055,730,111,92,2019
SC,4172,3318,275,462,2019
SD,995,725,76,66,2019
TN,7467,5637,558,679,2019
TX,25848,19611,1919,1806,2019
UT,2798,1921,260,211,2019
VA,5783,3666,652,447,2019
VI,314,314,0,13,2019
VT,1089,681,128,87,2019
WA,21577,15985,1751,1585,2019
WI,4538,2545,592,359,2019
WV,1397,1149,79,137,2019
WY,548,437,37,51,2019
