State,OverallHomeless,OverallHomelessIndividuals,OverallHomelessFamilyHouseholds,OverallHomelessVeterans,Year
AK,1940,1527,135,168,2016
AL,4111,3019,356,373,2016
AR,2463,1838,191,222,2016
AS,NA,NA,NA,NA,2016
AZ,9707,6659,917,1036,2016
CA,118142,97660,6764,9612,2016
CO,10550,6450,1200,1181,2016
CT,3902,2570,449,216,2016
DC,8350,3683,1491,350,2016
DE,1070,753,108,107,2016
FL,33559,24201,3031,2902,2016
GA,12909,9265,1145,1055,2016
GU,1085,227,158,21,2016
HI,7921,4590,805,670,2016
IA,3064,1543,466,170,2016
ID,2247,1284,291,267,2016
IL,11590,6986,1461,949,2016
IN,5798,3824,609,663,2016
KS,2255,1228,343,169,2016
KY,4237,2949,410,512,2016
LA,3994,3176,243,400,2016
MA,19608,6434,4381,949,2016
MD,7689,4983,866,555,2016
ME,2241,1321,297,146,2016
MI,9316,5803,1109,822,2016
MN,7341,3669,1065,279,2016
MO,6194,3810,767,575,2016
MP,NA,NA,NA,NA,2016
MS,1738,1299,133,144,2016
MT,1418,844,172,165,2016
NC,9559,6396,1041,888,2016
ND,923,662,70,116,2016
NE,2754,1880,280,219,2016
NH,1366,827,185,123,2016
NJ,8895,5540,1123,556,2016
NM,2263,1556,229,214,2016
NV,7398,6853,180,851,2016
NY,86352,35315,15499,1248,2016
OH,10404,6946,1079,930,2016
OK,4107,2997,360,358,2016
OR,13238,9379,1315,1341,2016
PA,15339,8599,2200,1136,2016
PR,4418,3799,188,146,2016
RI,1160,859,93,89,2016
SC,5051,3758,409,738,2016
SD,1072,548,170,120,2016
TN,8779,6652,710,831,2016
TX,23122,15959,2297,1768,2016
UT,2807,1828,298,335,2016
VA,6268,3959,737,515,2016
VI,341,308,11,32,2016
VT,1117,655,158,110,2016
WA,20827,13900,2185,1484,2016
WI,5685,2886,862,415,2016
WV,1387,1039,113,143,2016
WY,857,517,110,87,2016
